row,study_author,pmid,year,age,older_women,ui_type,followup,n1,n2,N1,N2,granular_trt_code1,granular_trt_code2,coarse_trt_code1,coarse_trt_code2,trt_description1,trt_description2,outcome,combined,randomization_sequence,blinding_of_patients,blinding_of_assessors,intention_to_treat,attrition_bias,selection_bias,interventions_described,intervention_compliance,other_issues,allocation_concealment,to_flip,or_string,counts_string,coarse_comparison_string,granular_comparison_string
184,Richter,20177294,2010,49.8,0,0,NA,79,75,146,149,T4,T5,T,T,pfmt,bladder support,satisfaction,Richter 2010 20177294,Adequate,Open-label,Low,Low,Low,Low,yes,Low,,Not adequate,0,"1.16 (0.74, 1.84)",79/146 vs 75/149,H vs H,H4 vs H5
185,Hung,20185357,2010,48.8,0,0,NA,5,1,35,35,T4,P1,T,P,pfmt,control,cure,Hung 2010 20185357,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Low,0,"5.67 (0.63, 51.27)",5/35 vs 1/35,H vs K,H4 vs K1
186,Hung,20185357,2010,48.8,0,0,NA,34,23,35,35,T4,P1,T,P,pfmt,control,improvement,Hung 2010 20185357,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Low,0,"17.74 (2.16, 145.95)",34/35 vs 23/35,H vs K,H4 vs K1
187,Schreiner,20458465,2010,68.3,1,0,NA,18,9,26,26,N4+T1,T1,N+T,T,bladder training & tens,bladder training,cure,Schreiner 2010 20458465,Low,Unclear,Unclear,Unclear,Low,Low,yes,Unclear,,Unclear,0,"4.25 (1.33, 13.56)",18/26 vs 9/26,G+H vs H,G4+H1 vs H1
188,Burgio,20639023,2010,58.4,0,uui,NA,28,25,32,32,C1,C1+T4,C,C+T,oxybutynin,oxybutynin & pfmt,satisfaction,Burgio 2010 20639023,Low,High,High,Low,Low,Low,yes,Low,,Unclear,0,"1.96 (0.51, 7.50)",28/32 vs 25/32,A vs A+H,A1 vs A1+H4
189,Burgio,20639023,2010,58.4,0,uui,NA,29,25,32,32,C1,C1+T4,C,C+T,oxybutynin,oxybutynin & pfmt,improvement,Burgio 2010 20639023,Low,High,High,Low,Low,Low,yes,Low,,Unclear,0,"2.71 (0.63, 11.59)",29/32 vs 25/32,A vs A+H,A1 vs A1+H4
190,Wells,2071809,1991,66,1,0,6,11,22,75,82,C7,T4,C,T,phenylpropanolamine,pfmt,cure,Wells 1991 2071809,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"0.47 (0.21, 1.05)",11/75 vs 22/82,A vs H,A7 vs H4
191,Wells,2071809,1991,66,1,0,6,29,17,75,82,C7,T4,C,T,phenylpropanolamine,pfmt,improvement,Wells 1991 2071809,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"2.41 (1.19, 4.89)",29/75 vs 17/82,A vs H,A7 vs H4
192,Ahlstrom,2227611,1990,NA,1,sui,NA,0,0,29,29,C7+H2,H2,C+H,H,po estrogen & phenylpropanolamine,po estrogen,cure,Ahlstrom 1990 2227611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"1.00 (0.02, 52.09)",0/29 vs 0/29,A+C vs C,A7+C2 vs C2
193,Ahlstrom,2227611,1990,NA,1,sui,NA,13,11,29,29,C7+H2,H2,C+H,H,po estrogen & phenylpropanolamine,po estrogen,improvement,Ahlstrom 1990 2227611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"1.33 (0.47, 3.79)",13/29 vs 11/29,A+C vs C,A7+C2 vs C2
194,Moore,2249115,1990,46,0,uui,NA,10,1,28,25,C1,P1,C,P,oxybutynin,control,improvement,Moore 1990 2249115,Low,Low,Low,Unclear,High,Low,yes,High,,Low,0,"13.33 (1.56, 113.84)",10/28 vs 1/25,A vs K,A1 vs K1
195,Moore,2249115,1990,46,0,uui,NA,5,0,28,25,C1,P1,C,P,oxybutynin,control,cure,Moore 1990 2249115,Low,Low,Low,Unclear,High,Low,yes,High,,Low,0,"11.94 (0.63, 227.78)",5/28 vs 0/25,A vs K,A1 vs K1
196,Harvey,318,2002,47.2,0,0,NA,2,2,19,25,T4+T6,T4+T9,T,T,pfmt & biofeedback,pfmt & weights,cure,Harvey 2002 318,Adequate,Unclear,,,,,,,,Unclear,0,"1.35 (0.17, 10.59)",2/19 vs 2/25,H vs H,H4+H6 vs H4+H9
197,Shepherd,6611720,1983,48,0,sui,NA,6,10,11,11,T4,T4+T6,T,T,pfmt,pfmt & biofeedback,improvement,Shepherd 1983 6611720,Unclear,High,High,Low,Low,Low,yes,Low,,Unclear,0,"0.12 (0.01, 1.29)",6/11 vs 10/11,H vs H,H4 vs H4+H6
198,Shepherd,6611720,1983,48,0,sui,NA,3,8,11,11,T4,T4+T6,T,T,pfmt,pfmt & biofeedback,cure,Shepherd 1983 6611720,Unclear,High,High,Low,Low,Low,yes,Low,,Unclear,0,"0.14 (0.02, 0.92)",3/11 vs 8/11,H vs H,H4 vs H4+H6
199,Szonyi G,7484484,1995,82,1,uui,NA,1,0,28,29,C1,P1,C,P,oxybutynin,control,cure,Szonyi G 1995 7484484,Low,Low,Low,Low,Low,Low,yes,Low,,Unclear,0,"3.22 (0.13, 82.38)",1/28 vs 0/29,A vs K,A1 vs K1
200,Szonyi G,7484484,1995,82,1,uui,NA,22,16,28,29,C1,P1,C,P,oxybutynin,control,improvement,Szonyi G 1995 7484484,Low,Low,Low,Low,Low,Low,yes,Low,,Unclear,0,"2.98 (0.93, 9.52)",22/28 vs 16/29,A vs K,A1 vs K1
201,Smith,7490809,1996,NA,0,0,NA,2,1,9,9,N4,T4,N,T,tens,pfmt,cure,Smith 1996 7490809,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"2.29 (0.17, 30.96)",2/9 vs 1/9,G vs H,G4 vs H4
202,Smith,7490809,1996,NA,0,0,NA,4,3,9,9,N4,T4,N,T,tens,pfmt,improvement,Smith 1996 7490809,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"1.60 (0.24, 10.81)",4/9 vs 3/9,G vs H,G4 vs H4
203,Smith_a,7490809_a,1996,NA,0,0,NA,3,4,18,20,C8,N4,C,N,propantheline,tens,cure,Smith_a 1996 7490809_a,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"0.80 (0.15, 4.18)",3/18 vs 4/20,A vs G,A8 vs G4
204,Smith_a,7490809_a,1996,NA,0,0,NA,10,13,18,20,C8,N4,C,N,propantheline,tens,improvement,Smith_a 1996 7490809_a,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"0.67 (0.18, 2.49)",10/18 vs 13/20,A vs G,A8 vs G4
205,Sand,7631730,1995,53.2,0,sui,NA,7,2,35,17,N4,P1,N,P,tens,control,cure,Sand 1995 7631730,Low,Low,Low,Low,Low,High,yes,Low,,Unclear,0,"1.88 (0.35, 10.18)",7/35 vs 2/17,G vs K,G4 vs K1
206,Sand,7631730,1995,53.2,0,sui,NA,16,3,35,17,N4,P1,N,P,tens,control,improvement,Sand 1995 7631730,Low,Low,Low,Low,Low,High,yes,Low,,Unclear,0,"3.93 (0.96, 16.15)",16/35 vs 3/17,G vs K,G4 vs K1
207,Burns,8315230,1993,62,1,0,6,9,1,40,39,T4+T6,P1,T,P,pfmt & biofeedback,control,cure,Burns 1993 8315230,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"11.03 (1.32, 91.89)",9/40 vs 1/39,H vs K,H4+H6 vs K1
208,Burns,8315230,1993,62,1,0,6,7,1,43,39,T4,P1,T,P,pfmt,control,cure,Burns 1993 8315230,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"7.39 (0.87, 63.07)",7/43 vs 1/39,H vs K,H4 vs K1
209,Burns,8315230,1993,62,1,0,6,7,9,43,40,T4,T4+T6,T,T,pfmt,pfmt & biofeedback,cure,Burns 1993 8315230,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"0.67 (0.22, 2.01)",7/43 vs 9/40,H vs H,H4 vs H4+H6
210,Burns,8315230,1993,62,1,0,6,24,2,40,39,T4+T6,P1,T,P,pfmt & biofeedback,control,improvement,Burns 1993 8315230,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"27.75 (5.85, 131.68)",24/40 vs 2/39,H vs K,H4+H6 vs K1
211,Burns,8315230,1993,62,1,0,6,23,2,43,39,T4,P1,T,P,pfmt,control,improvement,Burns 1993 8315230,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"21.27 (4.54, 99.63)",23/43 vs 2/39,H vs K,H4 vs K1
212,Burns,8315230,1993,62,1,0,6,23,24,43,40,T4,T4+T6,T,T,pfmt,pfmt & biofeedback,improvement,Burns 1993 8315230,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"0.77 (0.32, 1.83)",23/43 vs 24/40,H vs H,H4 vs H4+H6
213,Berghmans,8696355,1996,48.4,0,sui,3,3,5,20,20,T4,T4+T6,T,T,pfmt,pfmt & biofeedback,cure,Berghmans 1996 8696355,Low,High,High,Low,Low,Low,yes,Low,,Low,0,"0.53 (0.11, 2.60)",3/20 vs 5/20,H vs H,H4 vs H4+H6
214,Berghmans,8696355,1996,48.4,0,sui,3,14,14,20,20,T4,T4+T6,T,T,pfmt,pfmt & biofeedback,improvement,Berghmans 1996 8696355,Low,High,High,Low,Low,Low,yes,Low,,Low,0,"1.00 (0.26, 3.87)",14/20 vs 14/20,H vs H,H4 vs H4+H6
215,Glavind,9203484,1996,45,0,sui,NA,0,5,15,19,T4,T4+T6,T,T,pfmt,pfmt & biofeedback,cure,Glavind 1996 9203484,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Low,0,"0.09 (0.00, 1.68)",0/15 vs 5/19,H vs H,H4 vs H4+H6
216,Glavind,9203484,1996,45,0,sui,NA,4,8,15,19,T4,T4+T6,T,T,pfmt,pfmt & biofeedback,improvement,Glavind 1996 9203484,Low,Unclear,Unclear,Low,Low,Low,yes,Low,,Low,0,"0.50 (0.12, 2.16)",4/15 vs 8/19,H vs H,H4 vs H4+H6
217,Brubaker,9322620,1997,NA,0,0,NA,21,10,60,61,N4,P1,N,P,tens,control,improvement,Brubaker 1997 9322620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2.75 (1.16, 6.49)",21/60 vs 10/61,G vs K,G4 vs K1
218,Luber,9353803,1997,53.9,0,sui,NA,2,4,20,24,N4,P1,N,P,tens,control,cure,Luber 1997 9353803,Low,Low,Low,Unclear,High,Low,yes,Unclear,,Low,0,"0.56 (0.09, 3.40)",2/20 vs 4/24,G vs K,G4 vs K1
219,Luber,9353803,1997,53.9,0,sui,NA,3,3,20,24,N4,P1,N,P,tens,control,improvement,Luber 1997 9353803,Low,Low,Low,Unclear,High,Low,yes,Unclear,,Low,0,"1.24 (0.22, 6.92)",3/20 vs 3/24,G vs K,G4 vs K1
220,Holtedahl,9688247,1998,61,1,0,6,8,0,36,44,H1+N4+T4,P1,H+N+T,P,vaginal estrogen & tens & pfmt,control,cure,Holtedahl 1998 9688247,Low,High,High,Low,Low,Low,yes,Low,,Low,0,"26.54 (1.47, 477.93)",8/36 vs 0/44,C+G+H vs K,C1+G4+H4 vs K1
221,Holtedahl,9688247,1998,61,1,0,6,14,4,36,44,H1+N4+T4,P1,H+N+T,P,vaginal estrogen & tens & pfmt,control,improvement,Holtedahl 1998 9688247,Low,High,High,Low,Low,Low,yes,Low,,Low,0,"6.36 (1.87, 21.71)",14/36 vs 4/44,C+G+H vs K,C1+G4+H4 vs K1
222,Wyman,9790388,1998,61,0,0,NA,16,13,67,69,T1+T4+T6,T4+T6,T,T,bladder training & pfmt & biofeedback,pfmt & biofeedback,cure,Wyman 1998 9790388,Unclear,Unclear,Unclear,Low,Low,Low,yes,High,,Unclear,0,"1.35 (0.59, 3.08)",16/67 vs 13/69,H vs H,H1+H4+H6 vs H4+H6
223,Wyman,9790388,1998,61,0,0,NA,10,13,68,69,T1,T4+T6,T,T,bladder training,pfmt & biofeedback,cure,Wyman 1998 9790388,Unclear,Unclear,Unclear,Low,Low,Low,yes,High,,Unclear,0,"0.74 (0.30, 1.83)",10/68 vs 13/69,H vs H,H1 vs H4+H6
224,Wyman,9790388,1998,61,0,0,NA,10,16,68,67,T1,T1+T4+T6,T,T,bladder training,bladder training & pfmt & biofeedback,cure,Wyman 1998 9790388,Unclear,Unclear,Unclear,Low,Low,Low,yes,High,,Unclear,0,"0.55 (0.23, 1.32)",10/68 vs 16/67,H vs H,H1 vs H1+H4+H6
225,Wyman,9790388,1998,61,0,0,NA,45,42,67,69,T1+T4+T6,T4+T6,T,T,bladder training & pfmt & biofeedback,pfmt & biofeedback,satisfaction,Wyman 1998 9790388,Unclear,Unclear,Unclear,Low,Low,Low,yes,High,,Unclear,0,"1.31 (0.65, 2.65)",45/67 vs 42/69,H vs H,H1+H4+H6 vs H4+H6
226,Wyman,9790388,1998,61,0,0,NA,36,42,68,69,T1,T4+T6,T,T,bladder training,pfmt & biofeedback,satisfaction,Wyman 1998 9790388,Unclear,Unclear,Unclear,Low,Low,Low,yes,High,,Unclear,0,"0.72 (0.37, 1.43)",36/68 vs 42/69,H vs H,H1 vs H4+H6
227,Wyman,9790388,1998,61,0,0,NA,36,45,68,67,T1,T1+T4+T6,T,T,bladder training,bladder training & pfmt & biofeedback,satisfaction,Wyman 1998 9790388,Unclear,Unclear,Unclear,Low,Low,Low,yes,High,,Unclear,0,"0.55 (0.27, 1.10)",36/68 vs 45/67,H vs H,H1 vs H1+H4+H6
228,Wyman,9790388,1998,61,0,0,NA,31,24,67,69,T1+T4+T6,T4+T6,T,T,bladder training & pfmt & biofeedback,pfmt & biofeedback,improvement,Wyman 1998 9790388,Unclear,Unclear,Unclear,Low,Low,Low,yes,High,,Unclear,0,"1.61 (0.81, 3.22)",31/67 vs 24/69,H vs H,H1+H4+H6 vs H4+H6
229,Wyman,9790388,1998,61,0,0,NA,21,24,68,69,T1,T4+T6,T,T,bladder training,pfmt & biofeedback,improvement,Wyman 1998 9790388,Unclear,Unclear,Unclear,Low,Low,Low,yes,High,,Unclear,0,"0.84 (0.41, 1.71)",21/68 vs 24/69,H vs H,H1 vs H4+H6
230,Wyman,9790388,1998,61,0,0,NA,21,31,68,67,T1,T1+T4+T6,T,T,bladder training,bladder training & pfmt & biofeedback,improvement,Wyman 1998 9790388,Unclear,Unclear,Unclear,Low,Low,Low,yes,High,,Unclear,0,"0.52 (0.26, 1.05)",21/68 vs 31/67,H vs H,H1 vs H1+H4+H6
231,Burgio,9863850,1998,NA,1,uui,NA,19,8,65,65,T4+T6,P1,T,P,pfmt & biofeedback,control,cure,Burgio 1998 9863850,Low,Low,Low,Low,Low,High,yes,Low,,Unclear,0,"2.94 (1.18, 7.33)",19/65 vs 8/65,H vs K,H4+H6 vs K1
232,Burgio,9863850,1998,NA,1,uui,NA,15,8,67,65,C1,P1,C,P,oxybutynin,control,cure,Burgio 1998 9863850,Low,Low,Low,Low,Low,High,yes,Low,,Unclear,0,"2.06 (0.81, 5.24)",15/67 vs 8/65,A vs K,A1 vs K1
233,Burgio,9863850,1998,NA,1,uui,NA,15,19,67,65,C1,T4+T6,C,T,oxybutynin,pfmt & biofeedback,cure,Burgio 1998 9863850,Low,Low,Low,Low,Low,High,yes,Low,,Unclear,0,"0.70 (0.32, 1.53)",15/67 vs 19/65,A vs H,A1 vs H4+H6
234,Burgio,9863850,1998,NA,1,uui,NA,45,14,65,65,T4+T6,P1,T,P,pfmt & biofeedback,control,satisfaction,Burgio 1998 9863850,Low,Low,Low,Low,Low,High,yes,Low,,Unclear,0,"8.20 (3.71, 18.09)",45/65 vs 14/65,H vs K,H4+H6 vs K1
235,Burgio,9863850,1998,NA,1,uui,NA,27,14,67,65,C1,P1,C,P,oxybutynin,control,satisfaction,Burgio 1998 9863850,Low,Low,Low,Low,Low,High,yes,Low,,Unclear,0,"2.46 (1.14, 5.29)",27/67 vs 14/65,A vs K,A1 vs K1
236,Burgio,9863850,1998,NA,1,uui,NA,27,45,67,65,C1,T4+T6,C,T,oxybutynin,pfmt & biofeedback,satisfaction,Burgio 1998 9863850,Low,Low,Low,Low,Low,High,yes,Low,,Unclear,0,"0.30 (0.15, 0.62)",27/67 vs 45/65,A vs H,A1 vs H4+H6
237,Burgio,9863850,1998,NA,1,uui,NA,58,34,65,65,T4+T6,P1,T,P,pfmt & biofeedback,control,improvement,Burgio 1998 9863850,Low,Low,Low,Low,Low,High,yes,Low,,Unclear,0,"7.55 (3.00, 19.01)",58/65 vs 34/65,H vs K,H4+H6 vs K1
238,Burgio,9863850,1998,NA,1,uui,NA,45,34,67,65,C1,P1,C,P,oxybutynin,control,improvement,Burgio 1998 9863850,Low,Low,Low,Low,Low,High,yes,Low,,Unclear,0,"1.86 (0.92, 3.77)",45/67 vs 34/65,A vs K,A1 vs K1
239,Burgio,9863850,1998,NA,1,uui,NA,45,58,67,65,C1,T4+T6,C,T,oxybutynin,pfmt & biofeedback,improvement,Burgio 1998 9863850,Low,Low,Low,Low,Low,High,yes,Low,,Unclear,0,"0.25 (0.10, 0.63)",45/67 vs 58/65,A vs H,A1 vs H4+H6
240,Tejero,no pmid,2008,NA,0,sui,NA,12,10,18,16,T4,T4+T6,T,T,pfmt,pfmt & biofeedback,improvement,Tejero 2008 no pmid,High,High,Unclear,High,High,Low,yes,Low,,High,0,"1.20 (0.29, 4.91)",12/18 vs 10/16,H vs H,H4 vs H4+H6
241,,,,,0,0,,,,,,NA,P,N,P,Acupuncture,Sham,QoL,,,,,,,,,,,,,,,,
242,,,,,0,0,,,,,,T5,P,T,P,Bladder support,Sham,QoL,,,,,,,,,,,,,,,,
243,,,,,0,0,,,,,,T1+T4 ,P,T,P,"Bladder training, PFMT",Sham,QoL,,,,,,,,,,,,,,,,
244,,,,,0,0,,,,,,T1+T2+T4,P,T,P,"Education, bladder training, PFMT",Sham,QoL,,,,,,,,,,,,,,,,
245,,,,,0,0,,,,,,T2+??,P,T,P,"Education, weight loss",Sham,QoL,,,,,,,,,,,,,,,,
246,,,,,0,0,,,,,,N1,P,N,P,Electroacupuncture,Sham,QoL,,,,,,,,,,,,,,,,
247,,,,,0,0,,,,,,T4,P,T,P,PFMT,Sham,QoL,,,,,,,,,,,,,,,,
248,,,,,0,0,,,,,,T4+T6 ,P,T,P,"PFMT, biofeedback",Sham,QoL,,,,,,,,,,,,,,,,
249,,,,,0,0,,,,,,T4+T9,P,T,P,"PFMT, weights",Sham,QoL,,,,,,,,,,,,,,,,
250,,,,,0,0,,,,,,T8,P,T,P,Yoga,Sham,QoL,,,,,,,,,,,,,,,,
251,,,,,0,0,,,,,,N3,P,N,P,Magnetic simulation,Sham,QoL,,,,,,,,,,,,,,,,
252,,,,,0,0,,,,,,N4,P,N,P,TENS,Sham,QoL,,,,,,,,,,,,,,,,
253,,,,,0,0,,,,,,N4+T4,P,N+T,P,"TENS, PFMT",Sham,QoL,,,,,,,,,,,,,,,,
254,,,,,0,0,,,,,,N4+T4+T6,P,N+T,P,"TENS, PFMT, biofeedback",Sham,QoL,,,,,,,,,,,,,,,,
255,,,,,0,0,,,,,,V,P,V,P,Intravesical pressure release device,Sham,QoL,,,,,,,,,,,,,,,,
256,,,,,0,0,,,,,,NA,T4,N,T,Acupuncture,PFMT,QoL,,,,,,,,,,,,,,,,
257,,,,,0,0,,,,,,T1+T4,T1,T,T,"Bladder training, PFMT",Bladder training,QoL,,,,,,,,,,,,,,,,
258,,,,,0,0,,,,,,T1+T4+T6,T1,T,T,"Bladder training, PFMT, biofeedback",Bladder training,QoL,,,,,,,,,,,,,,,,
259,,,,,0,0,,,,,,T1+T4+T6,T4+T6,T,T,"Bladder training, PFMT, biofeedback","PFMT, biofeedback",QoL,,,,,,,,,,,,,,,,
260,,,,,0,0,,,,,,T1+T2+T4,T1+T2+T4 ,T,T,"Education, bladder training, PFMT (Group training)","Education, bladder training, PFMT (Individual training)",QoL,,,,,,,,,,,,,,,,
261,,,,,0,0,,,,,,T1+T4 ,T4,T,T,"Education, PFMT",PFMT,QoL,,,,,,,,,,,,,,,,
262,,,,,0,0,,,,,,T1+T2+T4,T2,T,T,"Education, PFMT, bladder training",Education,QoL,,,,,,,,,,,,,,,,
263,,,,,0,0,,,,,,T1+T2+T4+N4,T2+T4,N+T,T,"Education, PFMT, bladder training, TENS","Bladder training, PFMT",QoL,,,,,,,,,,,,,,,,
264,,,,,0,0,,,,,,T1+T2+T4+N4,T1+T4,N+T,T,"Education, PFMT, bladder training, TENS","Education, bladder training",QoL,,,,,,,,,,,,,,,,
265,,,,,0,0,,,,,,T2+??,T2,T,T,"Education, weight loss",Education,QoL,,,,,,,,,,,,,,,,
266,,,,,0,0,,,,,,T7,T8,T,T,MBSR,Yoga,QoL,,,,,,,,,,,,,,,,
267,,,,,0,0,,,,,,T4,T1,T,T,PFMT,Bladder training,QoL,,,,,,,,,,,,,,,,
268,,,,,0,0,,,,,,T4,T2,T,T,PFMT,Education,QoL,,,,,,,,,,,,,,,,
269,,,,,0,0,,,,,,T4,T4,T,T,Group PFMT,Individual PFMT,QoL,,,,,,,,,,,,,,,,
270,,,,,0,0,,,,,,T4,T4,T,T,"Home PFMT, supervised PFMT","Home PFMT, unsupervised PFMT",QoL,,,,,,,,,,,,,,,,
271,,,,,0,0,,,,,,T4,??,T,T,PFMT,Physiotherapy (incl. Paula group),QoL,,,,,,,,,,,,,,,,
272,,,,,0,0,,,,,,T4+T9,T1,T,T,"PFMT, weights",Bladder training,QoL,,,,,,,,,,,,,,,,
273,,,,,0,0,,,,,,T4+T6 ,T1,T,T,"PFMT, biofeedback",Bladder training,QoL,,,,,,,,,,,,,,,,
274,,,,,0,0,,,,,,T4+T6 ,T4,T,T,"PFMT, biofeedback",PFMT,QoL,,,,,,,,,,,,,,,,
275,,,,,0,0,,,,,,T4+T6 ,T4+T9,T,T,"PFMT, biofeedback","PFMT, weights",QoL,,,,,,,,,,,,,,,,
276,,,,,0,0,,,,,,T4+T9 ,T4,T,T,"PFMT, weights",PFMT,QoL,,,,,,,,,,,,,,,,
277,,,,,0,0,,,,,,T4+T6 ,T4+T6 ,T,T,"PFMT, biofeedback (supervised)","PFMT, biofeedback (unsupervised,)",QoL,,,,,,,,,,,,,,,,
278,,,,,0,0,,,,,,??,??,T,N,"PFMT, weights",TENS,QoL,,,,,,,,,,,,,,,,
279,,,,,0,0,,,,,,??,??,N,N,InterStim (continuous),InterStim (cyclic),QoL,,,,,,,,,,,,,,,,
280,,,,,0,0,,,,,,T1+T2+T4+N4,T4,N+T,T,"Education, PFMT, Bladder training, TENS",PFMT,QoL,,,,,,,,,,,,,,,,
281,,,,,0,0,,,,,,N4+T9,T4,N+T,T,"TENS, weights",PFMT,QoL,,,,,,,,,,,,,,,,
282,,,,,0,0,,,,,,N4+T4,T1,N+T,T,"TENS, PFMT",Bladder training,QoL,,,,,,,,,,,,,,,,
283,,,,,0,0,,,,,,N4+T4,T4,N+T,T,"TENS, PFMT",PFMT,QoL,,,,,,,,,,,,,,,,
284,,,,,0,0,,,,,,N4+T4+??,T4+T9,N+T,T,"TENS, PFMT, functional Electrical Stimulation","PFMT, weights",QoL,,,,,,,,,,,,,,,,
285,,,,,0,0,,,,,,N4+T4+T6,N1,N+T,N,"TENS, PFMT, biofeedback",Electroacupunture,QoL,,,,,,,,,,,,,,,,
286,,,,,0,0,,,,,,N4+T4+T6,N4+T4+T6,N+T,N+T,"TENS, PFMT, biofeedback (supine position, electrical stimulation)","TENS, PFMT, biofeedback (supine and upright, vaginal cones)",QoL,,,,,,,,,,,,,,,,
287,,,,,0,0,,,,,,C5,P,C,P,Fesoterodine,Placebo,QoL,,,,,,,,,,,,,,,,
288,,,,,0,0,,,,,,C1,P,C,P,Oxybutynin,Placebo,QoL,,,,,,,,,,,,,,,,
289,,,,,0,0,,,,,,C3,P,C,P,Tolterodine,Placebo,QoL,,,,,,,,,,,,,,,,
290,,,,,0,0,,,,,,B,P,B,P,Onabotulinum Toxin A,Placebo,QoL,,,,,,,,,,,,,,,,
291,,,,,0,0,,,,,,A1,P,A,P,Duloxetine,Placebo,QoL,,,,,,,,,,,,,,,,
292,,,,,0,0,,,,,,NO NODE,P,E,P,Pregabalin (antiepileptic),Placebo,QoL,,,,,,,,,,,,,,,,
293,,,,,0,0,,,,,,U5,P,U,P,Polydimethylsiloxane (bulking agent),Sham,QoL,,,,,,,,,,,,,,,,
294,,,,,0,0,,,,,,C1,C3,C,C,Oxybutynin,Tolterodine,QoL,,,,,,,,,,,,,,,,
295,,,,,0,0,,,,,,C1,C4,C,C,Oxybutynin,Tropsium chloride,QoL,,,,,,,,,,,,,,,,
296,,,,,0,0,,,,,,C1,C1,C,C,Oxybutynin 2.6 mg ,Oxybutynin 3.9 mg,QoL,,,,,,,,,,,,,,,,
297,,,,,0,0,,,,,,C2,??,C,C,Solifenacin,Darifenacin,QoL,,,,,,,,,,,,,,,,
298,,,,,0,0,,,,,,C2,B,C,B,Solifenacin,Onabotulinum Toxin A,QoL,,,,,,,,,,,,,,,,
299,,,,,0,0,,,,,,C5,C5+H1,C,C+H,Fesoterodine,"Fesoterodine, vaginal estrogen",QoL,,,,,,,,,,,,,,,,
300,,,,,0,0,,,,,,C3,E,C,E,Tolterodine,Pregabalin ,QoL,,,,,,,,,,,,,,,,
301,,,,,0,0,,,,,,??,E,C,E,Tolterodine + pregabalin ,Pregabalin,QoL,,,,,,,,,,,,,,,,
302,,,,,0,0,,,,,,T1+T2+T4,C1,T,C,"Education, PFMT, bladder training",Oxybutynin,QoL,,,,,,,,,,,,,,,,
303,,,,,0,0,,,,,,T4,C3,T,C,PFMT,Tolterodine,QoL,,,,,,,,,,,,,,,,
304,,,,,0,0,,,,,,N4,C3,N,C,TENS ,Tolterodine,QoL,,,,,,,,,,,,,,,,
305,,,,,0,0,,,,,,N2,B,N,B,InterStimª,Onabotulinum toxin A,QoL,,,,,,,,,,,,,,,,
